ID,Block,Category,Subcategory,Status
1,"Legal, Finance & Security",Law Firms & Attorneys,Consultations,ACTIVE
2,"Legal, Finance & Security",Law Firms & Attorneys,Document Preparation,ACTIVE
3,"Legal, Finance & Security",Law Firms & Attorneys,Legal or Financial Analysis,ACTIVE
4,"Legal, Finance & Security",Law Firms & Attorneys,Registration & Filing,ACTIVE
5,"Legal, Finance & Security",Law Firms & Attorneys,Representation,ACTIVE
6,"Legal, Finance & Security",Law Firms & Attorneys,Pre-Litigation Support,ACTIVE
7,"Legal, Finance & Security",Law Firms & Attorneys,Court or Administrative Representation,ACTIVE
8,"Legal, Finance & Security",Law Firms & Attorneys,Audit & Review,ACTIVE
9,"Legal, Finance & Security",Law Firms & Attorneys,Transaction Support,ACTIVE
10,"Legal, Finance & Security",Law Firms & Attorneys,Ongoing Business Support,ACTIVE
11,"Legal, Finance & Security",Immigration Law,Tourist Visas,ACTIVE
12,"Legal, Finance & Security",Immigration Law,Work Visas & Work Permits,ACTIVE
13,"Legal, Finance & Security",Immigration Law,Student Visas,ACTIVE
14,"Legal, Finance & Security",Immigration Law,Family Reunification,ACTIVE
15,"Legal, Finance & Security",Immigration Law,Temporary Residence Permit,ACTIVE
16,"Legal, Finance & Security",Immigration Law,Permanent Residence,ACTIVE
17,"Legal, Finance & Security",Immigration Law,Citizenship & Naturalization,ACTIVE
18,"Legal, Finance & Security",Immigration Law,Business Immigration,ACTIVE
19,"Legal, Finance & Security",Immigration Law,Investment Immigration,ACTIVE
20,"Legal, Finance & Security",Immigration Law,Asylum & Humanitarian Protection,ACTIVE
21,"Legal, Finance & Security",Immigration Law,Deportation & Removal Defense,ACTIVE
22,"Legal, Finance & Security",Immigration Law,Immigration Appeals,ACTIVE
23,"Legal, Finance & Security",Immigration Law,Status Extension & Change,ACTIVE
24,"Legal, Finance & Security",Immigration Law,Employer-Sponsored Immigration Petitions,ACTIVE
25,"Legal, Finance & Security",Immigration Law,Consular Support,ACTIVE
26,"Legal, Finance & Security",Immigration Law,Relocation & Post-Move Adaptation,ACTIVE
27,"Legal, Finance & Security",Family Law,Consultations,ACTIVE
28,"Legal, Finance & Security",Family Law,Document Preparation,ACTIVE
29,"Legal, Finance & Security",Family Law,Legal or Financial Analysis,ACTIVE
30,"Legal, Finance & Security",Family Law,Registration & Filing,ACTIVE
31,"Legal, Finance & Security",Family Law,Representation,ACTIVE
32,"Legal, Finance & Security",Family Law,Pre-Litigation Support,ACTIVE
33,"Legal, Finance & Security",Family Law,Court or Administrative Representation,ACTIVE
34,"Legal, Finance & Security",Family Law,Audit & Review,ACTIVE
35,"Legal, Finance & Security",Family Law,Transaction Support,ACTIVE
36,"Legal, Finance & Security",Family Law,Ongoing Business Support,ACTIVE
37,"Legal, Finance & Security",Criminal Law,Consultations,ACTIVE
38,"Legal, Finance & Security",Criminal Law,Document Preparation,ACTIVE
39,"Legal, Finance & Security",Criminal Law,Legal or Financial Analysis,ACTIVE
40,"Legal, Finance & Security",Criminal Law,Registration & Filing,ACTIVE
41,"Legal, Finance & Security",Criminal Law,Representation,ACTIVE
42,"Legal, Finance & Security",Criminal Law,Pre-Litigation Support,ACTIVE
43,"Legal, Finance & Security",Criminal Law,Court or Administrative Representation,ACTIVE
44,"Legal, Finance & Security",Criminal Law,Audit & Review,ACTIVE
45,"Legal, Finance & Security",Criminal Law,Transaction Support,ACTIVE
46,"Legal, Finance & Security",Criminal Law,Ongoing Business Support,ACTIVE
