business_category_id,locale,block,category,subcategory
"1","en","Legal, Finance & Security","Law Firms & Attorneys","Consultations"
"2","en","Legal, Finance & Security","Law Firms & Attorneys","Document Preparation"
"3","en","Legal, Finance & Security","Law Firms & Attorneys","Legal or Financial Analysis"
"4","en","Legal, Finance & Security","Law Firms & Attorneys","Registration & Filing"
"5","en","Legal, Finance & Security","Law Firms & Attorneys","Representation"
"6","en","Legal, Finance & Security","Law Firms & Attorneys","Pre-Litigation Support"
"7","en","Legal, Finance & Security","Law Firms & Attorneys","Court or Administrative Representation"
"8","en","Legal, Finance & Security","Law Firms & Attorneys","Audit & Review"
"9","en","Legal, Finance & Security","Law Firms & Attorneys","Transaction Support"
"10","en","Legal, Finance & Security","Law Firms & Attorneys","Ongoing Business Support"
"11","en","Legal, Finance & Security","Immigration Law","Tourist Visas"
"12","en","Legal, Finance & Security","Immigration Law","Work Visas & Work Permits"
"13","en","Legal, Finance & Security","Immigration Law","Student Visas"
"14","en","Legal, Finance & Security","Immigration Law","Family Reunification"
"15","en","Legal, Finance & Security","Immigration Law","Temporary Residence Permit"
"16","en","Legal, Finance & Security","Immigration Law","Permanent Residence"
"17","en","Legal, Finance & Security","Immigration Law","Citizenship & Naturalization"
"18","en","Legal, Finance & Security","Immigration Law","Business Immigration"
"19","en","Legal, Finance & Security","Immigration Law","Investment Immigration"
"20","en","Legal, Finance & Security","Immigration Law","Asylum & Humanitarian Protection"
"21","en","Legal, Finance & Security","Immigration Law","Deportation & Removal Defense"
"22","en","Legal, Finance & Security","Immigration Law","Immigration Appeals"
"23","en","Legal, Finance & Security","Immigration Law","Status Extension & Change"
"24","en","Legal, Finance & Security","Immigration Law","Employer-Sponsored Immigration Petitions"
"25","en","Legal, Finance & Security","Immigration Law","Consular Support"
"26","en","Legal, Finance & Security","Immigration Law","Relocation & Post-Move Adaptation"
"27","en","Legal, Finance & Security","Family Law","Consultations"
"28","en","Legal, Finance & Security","Family Law","Document Preparation"
"29","en","Legal, Finance & Security","Family Law","Legal or Financial Analysis"
"30","en","Legal, Finance & Security","Family Law","Registration & Filing"
"31","en","Legal, Finance & Security","Family Law","Representation"
